Source,Content
Standardization of Uveitis Nomenclature (SUN) Working Group. Classification criteria for acute posterior multifocal placoid pigment epitheliopathy. Am J Ophthalmol 2021;228:174-81,"Classification Criteria for Acute Posterior Multifocal Placoid Pigment Epitheliopathy
Criteria
Paucifocal or multifocal choroidal lesions on clinical examination with 
1.	Plaque-like or placoid appearance to the lesions
AND
2.	Characteristic fluorescein angiogram in the acute phase of the disease (lesions are hypofluorescent early and diffusely hyperfluorescent late) 

Exclusions
1.	Positive serologic test for syphilis using a treponemal test
2.	Evidence of sarcoidosis (either bilateral hilar adenopathy on chest imaging or tissue biopsy demonstrating non-caseating granulomata)"
Standardization of Uveitis Nomenclature (SUN) Working Group. Classification criteria for birdshot chorioretinitis. Am J Ophthalmol 2021;228:65-71,"Classification Criteria for Birdshot Chorioretinitis
Criteria ([#’s 1, 2, and 3] OR # 4)
1. Characteristic bilateral multifocal choroiditis on ophthalmoscopy 
a.	Multifocal cream-colored or yellow-orange, oval or round choroidal lesions (“birdshot spots”)
AND 
2. Absent to mild anterior chamber inflammation 
a.	Absent to mild anterior chamber cells AND 
b.	No keratic precipitates AND
c.	No posterior synechiae
AND
3. Absent to moderate vitritis 
OR
4.	Multifocal choroiditis with 
a.	Positive HLA-A29 test AND either (b. or c.)
b.	Characteristic “birdshot” spots (multifocal cream-colored or yellow-orange, oval or round choroidal lesions) on ophthalmoscopy OR
c.	Characteristic indocyanine green angiogram (multifocal hypofluorescent spots) without characteristic “birdshot” spots on ophthalmoscopy

Exclusions
1.	Positive serologic test for syphilis using a treponemal test
2.	Evidence of sarcoidosis (either bilateral hilar adenopathy on chest imaging or tissue biopsy demonstrating non-caseating granulomata)*
3.	Evidence of intraocular lymphoma on diagnostic vitrectomy or tissue biopsy"
Standardization of Uveitis Nomenclature (SUN) Working Group. Classification criteria for multiple evanescent white dot syndrome. Am J Ophthalmol 2021;228:198-204,"Classification Criteria for Multiple Evanescent White Dot Syndrome
Criteria
1. Multifocal chorioretinal gray-white spots with foveal granularity 
AND
2. Characteristic fluorescein angiogram or optical coherence tomogram (OCT)
a.	“Wreath-like” hyperfluorescent lesions on fluorescein angiogram OR
b.	Hyper-reflective lesions on OCT extending from the retinal pigment epithelium, into and/or through the ellipsoid zone into the outer nuclear layer of the retina
AND
3. Absent to mild anterior chamber and vitreous inflammation

Exclusions
1.	Positive serologic test for syphilis using a treponemal test
2.	Evidence of sarcoidosis (either bilateral hilar adenopathy on chest imaging or tissue biopsy demonstrating non-caseating granulomata)
3.	Bilateral simultaneous disease onset "
Standardization of Uveitis Nomenclature (SUN) Working Group. Classification criteria for multifocal choroiditis with panuveitis. Am J Ophthalmol 2021;228:152-8,"Classification Criteria for Multifocal Choroiditis with Panuveitis
Criteria
1. Multifocal choroiditis with 
a.	Oval or round lesions AND
b.	Predominant lesion size >125 µm 
AND
2. Characteristic appearance
a.	“Punched-out atrophic” chorioretinal scars OR
b.	Active lesions with more than minimal vitreous inflammation
AND
3.	Inflammatory lesions and/or characteristic scars involving the mid-periphery or periphery with or without posterior pole involvement

Exclusions
1.	Positive serologic test for syphilis using a treponemal test
2.	Evidence of sarcoidosis (either bilateral hilar adenopathy on chest imaging or tissue biopsy demonstrating non-caseating granulomata)
3.	In tuberculosis-endemic regions or tuberculosis-exposed individuals*, evidence of infection with Mycobacterium tuberculosis
a.	Histologically- or microbiologically-confirmed infection with M. tuberculosis† OR
b.	Positive interferon-Ɣ release assay (IGRA)‡ OR
c.	Positive tuberculin skin test§
*Testing not needed in tuberculosis non-endemic regions. †E.g. biopsy, fluorochrome stain, culture, or polymerase chain reaction based assay. ‡E.g. Quantiferon-gold or T-spot. §E.g. purified protein derivative; a positive result should be >10 mm induration"
Standardization of Uveitis Nomenclature (SUN) Working Group. Classification criteria for punctate inner choroiditis. Am J Ophthalmol 2021;228:275-80,"Classification Criteria for Punctate Inner Choroiditis
Criteria
1. Multifocal choroidal inflammatory lesions
a.	Predominant lesion size <250 µm AND 
b.	Punctate lesion appearance
AND
2. Lesion involvement of posterior pole with or without mid-periphery
AND
3. Absent to minimal anterior chamber and vitreous inflammation 

Exclusions
1.	Positive serologic test for syphilis using a treponemal test
2.	Evidence of sarcoidosis (either bilateral hilar adenopathy on chest imaging or tissue biopsy demonstrating non-caseating granulomata)"
Standardization of Uveitis Nomenclature (SUN) Working Group. Classification criteria for serpiginous choroiditis. Am J Ophthalmol 2021;228:126-33,"Classification Criteria for Serpiginous Choroiditis
Criteria
1. Paucifocal or multifocal choroiditis with an ameboid or serpentine shape*
AND
2. Characteristic imaging
a.	Fluorescein angiogram with early diffuse hypofluorescent lesions and late hyperfluorescent lesion borders OR
b.	Fundus auto-fluorescence with hypo-autofluorescent lesions with hyper-autofluorescent borders
AND
3. Absent to minimal anterior chamber and vitreous inflammation

Exclusions
1.	Positive serologic test for syphilis using a treponemal test
2.	Evidence of sarcoidosis (either bilateral hilar adenopathy on chest imaging or tissue biopsy demonstrating non-caseating granulomata)
3.	Evidence of infection with Mycobacterium tuberculosis, either
a.	Histologically- or microbiologically-confirmed infection with M. tuberculosis† OR
b.	Positive interferon-Ɣ release assay (IGRA)‡ OR
c.	Positive tuberculin skin test§ 
 *Lesions do not need to be contiguous with the optic disc. †E.g. biopsy, fluorochrome stain, culture, or polymerase chain reaction based assay. ‡E.g. Quantiferon-gold or T-spot. §E.g. purified protein derivative; a positive result should be >10 mm induration. "
Standardization of Uveitis Nomenclature (SUN) Working Group. Classification criteria for Behçet disease uveitis. Am J Ophthalmol 2021;228:80-8,"Classification Criteria for Behçet Disease Uveitis
Criteria
1. Compatible uveitic syndrome 
a.	Anterior uveitis
b.	Anterior and intermediate uveitis
c.	Posterior uveitis with retinal vasculitis and/or focal retinal infiltrates*
d.	Panuveitis with retinal vasculitis and/or focal retinal infiltrates*
AND
2. A diagnosis of Behçet disease using International Study Group for Behçet Disease criteria†

Exclusions
1.	Positive serology for syphilis using a treponemal test
2.	Evidence for sarcoidosis (either bilateral hilar adenopathy on chest imaging or tissue biopsy demonstrating non-caseating granulomata)
*Posterior uveitis or panuveitis with a choroiditis is not a Behçet disease compatible uveitis. 
†See also: International Study Group for Behçet’s Disease. Criteria for diagnosis of Behçet’s disease Lancet 1990;335:1078-80."
Standardization of Uveitis Nomenclature (SUN) Working Group. Classification criteria for sarcoidosis-associated uveitis. Am J Ophthalmol 2021;228:220-230,"Classification Criteria for Sarcoidosis-Associated Uveitis
Criteria
1. Compatible uveitic picture, either
a.	Anterior uveitis OR
b.	Intermediate or anterior/intermediate uveitis OR
c.	Posterior uveitis with either choroiditis (paucifocal choroidal nodule(s) or multifocal choroiditis) OR
d.	Panuveitis with choroiditis or retinal vascular sheathing or retinal vascular occlusion
AND
2. Evidence of sarcoidosis, either 
a.	Tissue biopsy demonstrating non-caseating granulomata OR 
b.	Bilateral hilar adenopathy on chest imaging

Exclusions
1.	Positive serology for syphilis using a treponemal test 
2.	Evidence of infection with Mycobacterium tuberculosis,* either 
a.	Histologically- or microbiologically-confirmed infection with M. tuberculosis† OR
b.	Positive interferon-Ɣ release assay (IGRA)‡ OR
c.	Positive tuberculin skin test§ 
*Routine exclusion of tuberculosis is not required in areas where tuberculosis is non-endemic but should be performed in areas where tuberculosis is endemic or in tuberculosis-exposed patients. With evidence of latent tuberculosis in a patient with a uveitic syndrome compatible with either sarcoidosis or tubercular uveitis and bilateral hilar adenopathy, the classification as sarcoid uveitis can be made only with biopsy confirmation of sarcoidosis (and therefore exclusion of tuberculosis). †E.g. biopsy, fluorochrome stain, culture, or polymerase chain reaction based assay. ‡E.g. Quantiferon-gold or T-spot. §E.g. Purified protein derivative (PPD) skin test; a positive result should be >10 mm induration. 
"
Standardization of Uveitis Nomenclature (SUN) Working Group. Classification criteria for sympathetic ophthalmia. Am J Ophthalmol 2021;228:212-9,"Classification Criteria for Sympathetic Ophthalmia
Criteria
1. History of unilateral ocular trauma or surgery
AND
2. Ocular inflammation, either 
a.	Bilateral OR 
b.	If there is no view in the inciting eye (e.g. enucleated, phthisis, opaque cornea), then detectable inflammation in the sympathizing eye
AND 
3. Evidence of more than isolated anterior uveitis, either
a.	Anterior chamber and vitreous inflammation OR
b.	Panuveitis with choroidal involvement

Exclusions
1.	Positive serology for syphilis using a treponemal test
2.	Evidence for sarcoidosis (either bilateral hilar adenopathy on chest imaging or tissue biopsy demonstrating non-caseating granulomata)"
Standardization of Uveitis Nomenclature (SUN) Working Group. Classification criteria for Vogt-Koyanagi-Harada Disease. Am J Ophthalmol 2021;228:205-11,"Classification Criteria for Early-Stage Vogt-Koyanagi-Harada Disease
Criteria (Diagnosis requires #1 or #2 AND #3)
1. Evidence of Harada’s disease
a.	Serous (exudative) retinal detachment AND (b. and/or c.)
b.	Multi-loculated appearance on fluorescein angiogram OR
c.	Septae on optical coherence tomogram
OR
2. Panuveitis* with >2 of the following neurologic symptoms or signs† 
a.	Headache OR
b.	Tinnitus OR
c.	Dysacusis OR
d.	Meningismus OR
e.	Cerebrospinal fluid pleocytosis
AND
3. No history of penetrating ocular trauma or vitreoretinal surgery prior to disease onset

Exclusions
1.	Positive serology for syphilis using a treponemal test
2.	Evidence for sarcoidosis (either bilateral hilar adenopathy on chest imaging or tissue biopsy demonstrating non-caseating granulomata)
*Uveitis should have evidence of choroidal involvement on clinical examination, fluorescein angiography, indocyanine green angiography, or optical coherence tomography, including enhanced depth imaging of the choroid. †Onset of neurologic symptoms and signs and onset of the uveitis should occur within 4 weeks of each other. "
Standardization of Uveitis Nomenclature (SUN) Working Group. Classification criteria for Vogt-Koyanagi-Harada disease. Am J Ophthalmol 2021;228:205-11,"Classification Criteria for Late-Stage Vogt-Koyanagi-Harada Disease
Criteria
1. History of early-stage Vogt-Koyanagi-Harada disease
AND (#2 and/or #3)
2. Sunset glow fundus
OR
3. Uveitis* AND >1 of the following cutaneous findings
a.	Vitiligo OR
b.	Poliosis OR
c.	Alopecia

Exclusions
1.	Positive serology for syphilis using a treponemal test
2.	Evidence for sarcoidosis (either bilateral hilar adenopathy on chest imaging or tissue biopsy demonstrating non-caseating granulomata)
*Uveitis may be:1) chronic anterior uveitis; 2) anterior and intermediate uveitis; or 3) panuveitis with multifocal choroiditis (“Dalen Fuchs-like nodules”)"
Standardization of Uveitis Nomenclature (SUN) Working Group. Classification criteria for acute retinal necrosis. Am J Ophthalmol 2021;228: 237-44,"Classification Criteria for Acute Retinal Necrosis Syndrome
Criteria 
1. Necrotizing retinitis involving the peripheral retina 
AND (either #2 OR #3)
2. Evidence of infection with either herpes simplex virus (HSV) or Varicella zoster virus (VZV)
a.	Positive PCR* for either HSV or VZV from either an aqueous or vitreous specimen
OR
3. Characteristic clinical picture
a.	Circumferential or confluent retinitis AND
b.	Retinal vascular sheathing and/or occlusion AND
c.	More than minimal vitritis † 

Exclusions
1.	Positive serology for syphilis using a treponemal test
2.	Intraocular specimen PCR-positive for cytomegalovirus or Toxoplasma gondii (unless there is immune compromise, morphologic evidence for >1 infection, the characteristic clinical picture of acute retinal necrosis, and the intraocular fluid specimen has a positive PCR for either HSV or VZV)
* PCR = polymerase chain reaction. HSV = herpes simplex virus. VZV = varicella zoster virus. †Vitritis criterion not required in immunocompromised patients. "
Standardization of Uveitis Nomenclature (SUN) Working Group. Classification criteria for cytomegalovirus retinitis. Am J Ophthalmol 2021;228:245-54,"Classification Criteria for Cytomegalovirus Retinitis
Criteria (requires #1 and #2 and either #3 or #4)
1. Necrotizing retinitis with indistinct borders due to numerous small (<50 μm) satellites 
AND 
2. Immune compromise, either 
a.	Systemic (e.g. AIDS, organ transplant, chemotherapy) OR
b.	Ocular (e.g. intraocular corticosteroids or chemotherapy)
AND (#3 or #4)
3. Characteristic clinical picture ([a. or b. or c.] AND d.)
a.	Wedge-shaped area of retinitis OR
b.	Hemorrhagic appearance of the retinitis OR
c.	Granular appearance of the retinitis AND
d.	Absent to mild vitritis
OR
4. Evidence of intraocular infection with cytomegalovirus 
a.	Positive PCR* for cytomegalovirus from either the aqueous or vitreous specimen 

Exclusions
1.	Positive serology for syphilis using a treponemal test 
2.	Intraocular specimen PCR-positive for herpes simplex virus, varicella zoster virus or Toxoplasma gondii (unless there is immune compromise, morphologic evidence for >1 infection, the characteristic picture of cytomegalovirus retinitis, and the intraocular fluid specimen also has a positive PCR for cytomegalovirus)"
Standardization of Uveitis Nomenclature (SUN) Working Group. Classification criteria for syphilitic uveitis. Am J Ophthalmol 2021;228:182-91,"Classification Criteria for Syphilitic Uveitis
Criteria
1. Uveitis with a compatible uveitic presentation, including
a.	Anterior uveitis OR
b.	Intermediate uveitis or anterior/intermediate uveitis OR
c.	Posterior or panuveitis with one of the following presentations
a.	Placoid inflammation of the retinal pigment epithelium or
b.	Multifocal inflammation of the retina/retinal pigment epithelium or
c.	Necrotizing retinitis or
d.	Retinal vasculitis
AND
2. Evidence of infection with Treponema pallidum, either 
a.	Positive treponemal test and non-treponemal test
b.	Positive treponemal test with two different treponemal tests

Exclusions
1.	History of adequate treatment for syphilitic uveitis*"
Standardization of Uveitis Nomenclature (SUN) Working Group. Classification criteria for toxoplasmic retinitis. Am J Ophthalmol 2021;228:134-41,"Classification Criteria for Toxoplasmic Retinitis
Criteria
1. Focal or paucifocal necrotizing retinitis*
AND (#2 or #3)
2. Evidence of infection with Toxoplasma gondii
a.	Positive PCR† for Toxoplasma gondii from either the aqueous or vitreous specimen OR
b.	Positive serum IgM antibodies against Toxoplasma gondii
OR
3. Characteristic clinical ocular features
a.	Hyperpigmented and/or atrophic chorioretinal scar (“toxoplasmic scar”) AND (b. or c.)
b.	Round or oval retinitis lesions OR
c.	Recurrent acute (episodic) course

Exclusions
1.	Both negative IgG AND IgM antibodies against Toxoplasma gondii (unless there is a positive PCR for Toxoplasma gondii from an aqueous or vitreous specimen)
2.	Positive serology for syphilis using a treponemal test
3.	Intraocular specimen PCR-positive for herpes simplex virus, varicella zoster virus or cytomegalovirus (unless there is immune compromise, morphologic evidence for >1 infection, the characteristic picture of toxoplasmic retinitis, and the intraocular fluid specimen also has a positive PCR for T. gondii)
* “Active” retinitis lesions in immunocompetent patients. Immunocompromised patients may have a multifocal retinitis or a diffuse necrotizing retinitis. Number of scars may be >5. †PCR = polymerase chain reaction. "
Standardization of Uveitis Nomenclature (SUN) Working Group. Classification criteria for tubercular uveitis. Am J Ophthalmol 2021;228:142-51,"Classification Criteria for Tubercular Uveitis
Criteria
1. Evidence of a tubercular uveitis compatible uveitic syndrome
a.	anterior uveitis with iris nodules
b.	serpiginous-like tubercular choroiditis 
c.	choroidal nodule (i.e. tuberculoma)
d.	in individuals with active systemic tuberculosis, multifocal choroiditis
e.	occlusive retinal vasculitis
AND
2. Evidence of infection with Mycobacterium tuberculosis, either 
a.	histologically- or microbiologically-confirmed infection with M. tuberculosis* OR
b.	positive interferon-γ release assay (IGRA)† OR
c.	positive tuberculin skin test‡

Exclusions
1.	Positive serology for syphilis using a treponemal test 
2.	Positive biopsy for sarcoidosis (and therefore an absence of histological or microbiologic confirmation of infection with M. tuberculosis) 
3.	Uveitic syndrome compatible with either sarcoidosis-associated uveitis or tubercular uveitis and bilateral hilar adenopathy on chest imaging without histological or microbiologic confirmation of the diagnosis of infection with M. tuberculosis §
*E.g. biopsy, fluorochrome stain, culture, or polymerase chain reaction based assay. †E.g. Quantiferon-gold or T-spot. ‡E.g. Purified protein derivative (PPD) skin test; a positive result should be >10 mm induration. However, a positive skin test and a negative IGRA should be taken as evidence of atypical mycobacterial infection and not tuberculosis.
 §In patients with a uveitic syndrome compatible either with sarcoidosis-associated uveitis or with tubercular uveitis, bilateral hilar adenopathy, and evidence of latent tuberculosis (e.g. positive tuberculin skin test or IGRA), the classification requires histological or microbiologic confirmation of the diagnosis (i.e. classification cannot be made without such confirmation). 
"
