pmid,title,authors,abstract,citation_count,publication_date
22067906,Persistent inflammation subverts thrombospondin-1-induced regulation of retinal angiogenesis and is driven by CCR2 ligation.,"Chen, Mei; Copland, David A; Zhao, Jiawu; Liu, Jian; Forrester, John V; Dick, Andrew D; Xu, Heping","Title: Persistent inflammation subverts thrombospondin-1-induced regulation of retinal angiogenesis and is driven by CCR2 ligation.
Authors: Chen, Mei; Copland, David A; Zhao, Jiawu; Liu, Jian; Forrester, John V; Dick, Andrew D; Xu, Heping
Publication Date: 2012-Jan-1
PMID: 22067906
Neovascular retinal disease is a leading cause of blindness orchestrated by inflammatory responses. Although noninfectious uveoretinitis is mediated by CD4(+) T cells, in the persistent phase of disease, angiogenic responses are observed, along with degeneration of the retina. Full clinical manifestation relies on myeloid-derived cells, which are phenotypically distinct from, but potentially sharing common effector responses to age-related macular degeneration. To interrogate inflammation-mediated angiogenesis, we investigated experimental autoimmune uveoretinitis, an animal model for human uveitis. After the initial acute phase of severe inflammation, the retina sustains a persistent low-grade inflammation with tissue-infiltrating leukocytes for over 4 months. During this persistent phase, angiogenesis is observed as retinal neovascular membranes that arise from inflamed venules and postcapillary venules, increase in size as the disease progresses, and are associated with infiltrating arginase-1(+) macrophages. In the absence of thrombospondin-1, retinal neovascular membranes are markedly increased and are associated with arginase-1(-) CD68(+) macrophages, whereas deletion of the chemokine receptor CCR2 resulted in reduced retinal neovascular membranes in association with a predominant neutrophil infiltrate. CCR2 is important for macrophage recruitment to the retina in experimental autoimmune uveoretinitis and promotes chronicity in the form of a persistent angiogenesis response, which in turn is regulated by constitutive expression of angiogenic inhibitors like thrombospondin-1. This model offers a new platform to dissect the molecular and cellular pathology of inflammation-induced ocular angiogenesis.",29,2012-Jan-1
18464800,Uveitis following dengue fever.,"Gupta, A; Srinivasan, R; Setia, S; Soundravally, R; Pandian, D G","Title: Uveitis following dengue fever.
Authors: Gupta, A; Srinivasan, R; Setia, S; Soundravally, R; Pandian, D G
Publication Date: 2009-Apr-1
PMID: 18464800
To report the occurrence of uveitis in patients with prior history of dengue fever.
METHODS: A case series of patients with uveitis, presenting with ocular symptoms 3-5 months after contracting dengue fever during the dengue epidemic without any other attributable cause for uveitis. The dengue fever had subsided without any complication. None of the patients had any ocular complication during the acute dengue infection. They were treated on the lines of uveitis with local steroids, cycloplegic, and ocular hypotensive medications, when required, and oral steroid in case of posterior segment involvement. Patients' follow-up varied from 3-5 months.
RESULTS: Six patients with serological evidence of prior dengue fever had presented with uveitis not attributable to any other disease. Seven eyes of six patients were affected. Anterior uveitis without any evidence of posterior segment involvement was present in six eyes of five patients whereas one patient had severe vitritis also. The most common symptom was progressive decrease in vision and only three out of seven eyes had evidence of ciliary congestion. All patients promptly responded to the treatment and visual acuity returned to 6/9 or better in five eyes, while 6/24 and 6/18 in other two eyes due to the presence of cataract. None of these patients had recurrence during the follow-up period.
CONCLUSION: Uveitis in dengue infection is rare and ophthalmologists should be aware of these delayed ophthalmic complications. The prognosis of post-dengue uveitis is good.",29,2009-Apr-1
30660771,Anti-IL6-Receptor Tocilizumab in Refractory and Noninfectious Uveitic Cystoid Macular Edema: Multicenter Study of 25 Patients.,"Vegas-Revenga, Nuria; Calvo-Río, Vanesa; Mesquida, Marina; Adán, Alfredo; Hernández, María Victoria; Beltrán, Emma; Valls Pascual, Elia; Díaz-Valle, David; Díaz-Cordovés, Gisela; Hernandez-Garfella, Marisa; Martínez-Costa, Lucía; Calvo, Inmaculada; Atanes, Antonio; Linares, Luis F; Modesto, Consuelo; González-Vela, Carmen; Demetrio-Pablo, Rosalia; Aurrecoechea, Elena; Cordero, Miguel; Domínguez-Casas, Lucía C; Atienza-Mateo, Belén; Martín-Varillas, José Luis; Loricera, Javier; Palmou-Fontana, Natalia; Hernández, José L; González-Gay, Miguel A; Blanco, Ricardo","Title: Anti-IL6-Receptor Tocilizumab in Refractory and Noninfectious Uveitic Cystoid Macular Edema: Multicenter Study of 25 Patients.
Authors: Vegas-Revenga, Nuria; Calvo-Río, Vanesa; Mesquida, Marina; Adán, Alfredo; Hernández, María Victoria; Beltrán, Emma; Valls Pascual, Elia; Díaz-Valle, David; Díaz-Cordovés, Gisela; Hernandez-Garfella, Marisa; Martínez-Costa, Lucía; Calvo, Inmaculada; Atanes, Antonio; Linares, Luis F; Modesto, Consuelo; González-Vela, Carmen; Demetrio-Pablo, Rosalia; Aurrecoechea, Elena; Cordero, Miguel; Domínguez-Casas, Lucía C; Atienza-Mateo, Belén; Martín-Varillas, José Luis; Loricera, Javier; Palmou-Fontana, Natalia; Hernández, José L; González-Gay, Miguel A; Blanco, Ricardo
Publication Date: 2019-Apr-1
PMID: 30660771
Cystoid macular edema (CME) is a leading cause of blindness. This study assessed the efficacy and safety of tocilizumab (TCZ) in refractory CME.
DESIGN: Retrospective case series.
METHODS: Patients with CME secondary to noninfectious uveitis who had inadequate response to corticosteroids and at least 1 conventional immunosuppressive drug, and in most cases to other biological agents, were studied. CME was defined as central retinal thickness greater than 300 μm. The primary outcome measure was macular thickness. Intraocular inflammation, best-corrected visual acuity (BCVA), and corticosteroid-sparing effect were also analyzed.
RESULTS: A total of 25 patients (mean ± standard deviation age 33.6 ± 18.9 years; 17 women) with CME were assessed. Underlying diseases associated with uveitis-related CME are juvenile idiopathic arthritis (n = 9), Behçet disease (n = 7), birdshot retinochoroidopathy (n = 4), idiopathic (n = 4), and sarcoidosis (n = 1). The ocular patterns were panuveitis (n = 9), anterior uveitis (n = 7), posterior uveitis (n = 5), and intermediate uveitis (n = 4). Most patients had CME in both eyes (n = 24). TCZ was used in monotherapy (n = 11) or combined with conventional immunosuppressive drugs. Regardless of the underlying disease, compared to baseline, a statistically significant improvement in macular thickness (415.7 ± 177.2 vs 259.1 ± 499.5 μm; P = .00009) and BCVA (0.39 ± 0.31 vs 0.54 ± 0.33; P = .0002) was obtained, allowing us to reduce the daily dose of prednisone (15.9 ± 13.6 mg/day vs 3.1 ± 2.3 mg/day; P = .002) after 12 months of therapy. Remission was achieved in 14 patients. Only minor side effects were observed after a mean follow-up of 12.7 ± 8.34 months.
CONCLUSION: Macular thickness is reduced following administration of TCZ in refractory uveitis-related CME.",28,2019-Apr-1
3488297,Uveoretinitis and pinealitis induced by immunization with interphotoreceptor retinoid-binding protein.,"Gery, I; Wiggert, B; Redmond, T M; Kuwabara, T; Crawford, M A; Vistica, B P; Chader, G J","Title: Uveoretinitis and pinealitis induced by immunization with interphotoreceptor retinoid-binding protein.
Authors: Gery, I; Wiggert, B; Redmond, T M; Kuwabara, T; Crawford, M A; Vistica, B P; Chader, G J
Publication Date: 1986-Aug-1
PMID: 3488297
Rats immunized with microgram amounts of interphotoreceptor retinoid-binding protein (IRBP), a glycoprotein which localizes specifically in the eye and pineal gland, developed uveoretinitis and pinealitis. The severity and onset of changes were found to be dose-related and to be enhanced by B. pertussis bacteria. In general, the inflammatory changes induced by IRBP resembled those provoked by S-antigen (S-Ag), but significant differences were noted between the two diseases. The possible usefulness of the new experimental autoimmune disease is discussed.",28,1986-Aug-1
3684202,Prognostic factors in the uveitis of juvenile rheumatoid arthritis.,"Wolf, M D; Lichter, P R; Ragsdale, C G","Title: Prognostic factors in the uveitis of juvenile rheumatoid arthritis.
Authors: Wolf, M D; Lichter, P R; Ragsdale, C G
Publication Date: 1987-Oct-1
PMID: 3684202
Risk factors for significant visual loss were investigated in 51 patients with iridocyclitis associated with juvenile rheumatoid arthritis (JRA). Average follow-up was 12.7 years. Of 89 eyes with uveitis, 22% had visual loss to 20/200 or worse, 46% had cataracts, 30% had band keratopathy, and 27% had glaucoma. Severity of visual loss and complications correlated with the degree of inflammation found on initial ocular examination. Of 58 eyes that were initially normal or had signs of mild inflammation (cells, flare, keratitic precipitates), 3% had final vision of 20/200 or worse, 28% had cataracts, 5% had band keratopathy, and 17% had glaucoma. Of 31 eyes with posterior synechiae on initial examination, 58% had final vision of 20/200 or worse, 81% had cataracts, 77% had band keratopathy, and 45% had glaucoma. When arthritis clearly preceded uveitis, 6% of patients had a poor visual outcome compared to 67% of patients whose initial manifestation of JRA was uveitis. Systemic corticosteroid administration used primarily for arthritis correlated with cataract formation.",28,1987-Oct-1
7190360,Vogt-Koyanagi-Harada syndrome.,"Snyder, D A; Tessler, H H","Title: Vogt-Koyanagi-Harada syndrome.
Authors: Snyder, D A; Tessler, H H
Publication Date: 1980-Jul-1
PMID: 7190360
We studied 20 patients with Vogt-Koyanagi-Harada syndrome. They represented 3.7% of referred patients with uveitis. American Indian ancestry appears to be the link to Oriental racial type. Five patients had a forme fruste retinal detachment. After extensive treatment with corticosteroids, detachments flattened within an average of two to three months. Anterior inflammation continued to persist chronically. Seven of our patients had retinal vasculitis. Pregnancy had a beneficial effect on disease activity. Those patients with diabetes mellitus and sickle cell hemoglobin did not have an adverse effect. Visual outcome was good; of 20 patients, 16 had visual ascuity of 6/21 (20/70) in at least one eye.",28,1980-Jul-1
23878321,Toxoplasma serotype is associated with development of ocular toxoplasmosis.,"Shobab, Leila; Pleyer, Uwe; Johnsen, Joerdis; Metzner, Sylvia; James, Erick R; Torun, N; Fay, Michael P; Liesenfeld, Oliver; Grigg, Michael E","Title: Toxoplasma serotype is associated with development of ocular toxoplasmosis.
Authors: Shobab, Leila; Pleyer, Uwe; Johnsen, Joerdis; Metzner, Sylvia; James, Erick R; Torun, N; Fay, Michael P; Liesenfeld, Oliver; Grigg, Michael E
Publication Date: 2013-Nov-01
PMID: 23878321
Worldwide, ocular toxoplasmosis (OT) is the principal cause of posterior uveitis, a severe, life-altering disease. A Toxoplasma gondii enzyme-linked immunoassay that detects strain-specific antibodies present in serum was used to correlate serotype with disease.
METHODS: Toxoplasma serotypes in consecutive serum samples from German uveitis patients with OT were compared with non-OT seropositive patients with noninfectious autoimmune posterior uveitis. OT patients were tested for association of parasite serotype with age, gender, location, clinical onset, size, visual acuity, or number of lesions (mean follow-up, 3.8 years) to determine association with recurrences.
RESULTS: A novel, nonreactive (NR) serotype was detected more frequently in serum samples of OT patients (50/114, 44%) than in non-OT patients (4/56, 7%) (odds ratio, 10.0; 95% confidence interval 3.4-40.8; P < .0001). Non-OT patients were predominantly infected with Type II strains (39/56; 70%), consistent with expected frequencies in Central Europe. Among OT patients, those with NR serotypes experienced more frequent recurrences (P = .037). Polymerase chain reaction detected parasite DNA in 8/60 OT aqueous humor specimens but failed to identify Type II strain alleles.
CONCLUSIONS: Toxoplasma NR and Type II serotypes predominate in German OT patients. The NR serotype is associated with OT recurrences, underscoring the value of screening for management of disease.",28,2013-Nov-01
32647028,Clinical characteristics and treatment of 50 cases of Blau syndrome in Japan confirmed by genetic analysis of the ,"Matsuda, Tomoko; Kambe, Naotomo; Ueki, Yoko; Kanazawa, Nobuo; Izawa, Kazushi; Honda, Yoshitaka; Kawakami, Atsushi; Takei, Syuji; Tonomura, Kyoko; Inoue, Masami; Kobayashi, Hiroko; Okafuji, Ikuo; Sakurai, Yoshihiko; Kato, Naoki; Maruyama, Yuta; Inoue, Yuzaburo; Otsubo, Yoshikazu; Makino, Teruhiko; Okada, Satoshi; Kobayashi, Ichiro; Yashiro, Masato; Ito, Shusaku; Fujii, Hiroshi; Kondo, Yasuhiro; Okamoto, Nami; Ito, Shuichi; Iwata, Naomi; Kaneko, Utako; Doi, Mototsugu; Hosokawa, Junichi; Ohara, Osamu; Saito, Megumu K; Nishikomori, Ryuta","Title: Clinical characteristics and treatment of 50 cases of Blau syndrome in Japan confirmed by genetic analysis of the 
Authors: Matsuda, Tomoko; Kambe, Naotomo; Ueki, Yoko; Kanazawa, Nobuo; Izawa, Kazushi; Honda, Yoshitaka; Kawakami, Atsushi; Takei, Syuji; Tonomura, Kyoko; Inoue, Masami; Kobayashi, Hiroko; Okafuji, Ikuo; Sakurai, Yoshihiko; Kato, Naoki; Maruyama, Yuta; Inoue, Yuzaburo; Otsubo, Yoshikazu; Makino, Teruhiko; Okada, Satoshi; Kobayashi, Ichiro; Yashiro, Masato; Ito, Shusaku; Fujii, Hiroshi; Kondo, Yasuhiro; Okamoto, Nami; Ito, Shuichi; Iwata, Naomi; Kaneko, Utako; Doi, Mototsugu; Hosokawa, Junichi; Ohara, Osamu; Saito, Megumu K; Nishikomori, Ryuta
Publication Date: 2020-Nov-1
PMID: 32647028
To collect clinical information and 
METHODS: Fifty patients with 
RESULTS: The study population comprised 26 males and 24 females aged 0-61 years. Thirty-two cases were sporadic, and 18 were familial from 9 unrelated families. Fifteen different mutations in 
CONCLUSIONS: In patients with Blau syndrome, severe joint contractures and blindness may occur if diagnosis and appropriate treatment are delayed. Early treatment with a biologic agent may improve the prognosis.",28,2020-Nov-1
25182201,"Caveats and truths in genetic, clinical, autoimmune and autoinflammatory issues in Blau syndrome and early onset sarcoidosis.","Caso, Francesco; Costa, Luisa; Rigante, Donato; Vitale, Antonio; Cimaz, Rolando; Lucherini, Orso Maria; Sfriso, Paolo; Verrecchia, Elena; Tognon, Sofia; Bascherini, Vittoria; Galeazzi, Mauro; Punzi, Leonardo; Cantarini, Luca","Title: Caveats and truths in genetic, clinical, autoimmune and autoinflammatory issues in Blau syndrome and early onset sarcoidosis.
Authors: Caso, Francesco; Costa, Luisa; Rigante, Donato; Vitale, Antonio; Cimaz, Rolando; Lucherini, Orso Maria; Sfriso, Paolo; Verrecchia, Elena; Tognon, Sofia; Bascherini, Vittoria; Galeazzi, Mauro; Punzi, Leonardo; Cantarini, Luca
Publication Date: 2014-Dec-1
PMID: 25182201
Blau syndrome (BS) and early onset sarcoidosis (EOS) are, respectively, the familial and sporadic forms of the pediatric granulomatous autoinflammatory disease, which belong to the group of monogenic autoinflammatory syndromes. Both of these conditions are caused by mutations in the NOD2 gene, which encodes the cytosolic NOD2 protein, one of the pivotal molecules in the regulation of innate immunity, primarily expressed in the antigen-presenting cells. Clinical onset of BS and EOS is usually in the first years of life with noncaseating epithelioid granulomas mainly affecting joints, skin, and uveal tract, variably associated with heterogeneous systemic features. The dividing line between autoinflammatory and autoimmune mechanisms is probably not so clear-cut, and the relationship existing between BS or EOS and autoimmune phenomena remains unclear. There is no established therapy for the management of BS and EOS, and the main treatment aim is to prevent ocular manifestations entailing the risk of potential blindness and to avoid joint deformities. Nonsteroidal anti-inflammatory drugs, corticosteroids and immunosuppressive drugs, such as methotrexate or azathioprine, may be helpful; when patients are unresponsive to the combination of corticosteroids and immunosuppressant agents, the tumor necrosis factor-α inhibitor infliximab should be considered. Data on anti-interleukin-1 inhibition with anakinra and canakinumab is still limited and further corroboration is required. The aim of this paper is to describe BS and EOS, focusing on their genetic, clinical, and therapeutic issues, with the ultimate goal of increasing clinicians' awareness of both of these rare but serious disorders.",28,2014-Dec-1
26771918,The Neuroprotective Effect of Rapamycin as a Modulator of the mTOR-NF-κB Axis during Retinal Inflammation.,"Okamoto, Tomohiro; Ozawa, Yoko; Kamoshita, Mamoru; Osada, Hideto; Toda, Eriko; Kurihara, Toshihide; Nagai, Norihiro; Umezawa, Kazuo; Tsubota, Kazuo","Title: The Neuroprotective Effect of Rapamycin as a Modulator of the mTOR-NF-κB Axis during Retinal Inflammation.
Authors: Okamoto, Tomohiro; Ozawa, Yoko; Kamoshita, Mamoru; Osada, Hideto; Toda, Eriko; Kurihara, Toshihide; Nagai, Norihiro; Umezawa, Kazuo; Tsubota, Kazuo
Publication Date: 2016-1-1
PMID: 26771918
The determination of the molecular mechanism underlying retinal pathogenesis and visual dysfunction during innate inflammation, and the treatment effect of rapamycin thereon.
METHODS: The endotoxin-induced uveitis and retinitis mouse model was established by injecting lipopolysaccharide. The mice were subsequently treated with rapamycin, a mammalian target of rapamycin (mTOR) inhibitor. The rhodopsin mRNA and protein expression level in the retina and the photoreceptor outer segment (OS) length in immunohistochemical stainings were measured, and visual function was recorded by electroretinography. Inflammatory cytokines, their related molecules, mTOR, and LC3 levels were measured by real-time PCR and/or immunoblotting. Leukocyte adhesion during inflammation was analyzed using concanavalin A lectin.
RESULTS: The post-transcriptional reduction in the visual pigment of rod photoreceptor cells, rhodopsin, OS shortening, and rod photoreceptor cell dysfunction during inflammation were suppressed by rapamycin. Activation of nuclear factor kappa-light-chain-enhancer of activated B cells (NF-κB) and induction of inflammatory cytokines, such as interleukin-6 (IL-6) and monocyte chemoattractant protein-1 (MCP-1), and the activation of the downstream signaling protein, signal transducer and activator of transcription 3 (STAT3), which reduces rhodopsin in the retina during inflammation, were attenuated by rapamycin. Increased leukocyte adhesion was also attenuated by rapamycin. Interestingly, although mTOR activation was observed after NF-κB activation, mTOR inhibition suppressed NF-κB activation at the early phase, indicating that the basal level of activated mTOR was sufficient to activate NF-κB in the retina. In addition, the inhibition of NF-κB suppressed mTOR activation, suggesting a positive feedback loop of mTOR and NF-κB during inflammation. The ratio of LC3II to LC3I, which reflects autophagy induction, was not changed by inflammation but was increased by rapamycin.
CONCLUSIONS: Our results propose the potential use of rapamycin as a neuroprotective therapy to suppress local activated mTOR levels, related inflammatory molecules, and the subsequent visual dysfunction during retinal inflammation.",28,2016-1-1
25971165,Experimental autoimmune uveitis and other animal models of uveitis: An update.,"Bansal, Svati; Barathi, Veluchamy A; Iwata, Daiju; Agrawal, Rupesh","Title: Experimental autoimmune uveitis and other animal models of uveitis: An update.
Authors: Bansal, Svati; Barathi, Veluchamy A; Iwata, Daiju; Agrawal, Rupesh
Publication Date: 2015-Mar-1
PMID: 25971165
Over the past several decades, animal models of autoimmune uveitis directed at eye-specific antigens (Ags) have been developed. These have allowed researchers to understand the basic mechanisms that lead to these diseases and also recently helped the researchers in translational research for therapeutic interventions. Experimental autoimmune uveitis (EAU) is an animal disease model of human endogenous uveitis and can be induced in susceptible animals by immunization with retinal Ags. Ever since the first description of EAU in mice in 1988, several animal models of uveitis has been described by researchers. Disease-specific model for cytomegalovirus retinitis and tubercular uveitis has evolved our understanding of these complex entities. Endotoxin induced uveitis is another useful model for anterior uveitis, which is not an autoimmune process and is triggered by injection of bacterial endotoxin (lipopolysaccharides) resulting in a rapid short lasting uveitis. The current article will give an insight into the various EAU animal models and their current implications in translational research. The article will also highlight the different grading systems for EAU in the animal model.",28,2015-Mar-1
18802119,Gene expression profiling in autoimmune noninfectious uveitis disease.,"Li, Zhuqing; Liu, Baoying; Maminishkis, Arvydas; Mahesh, Sankaranarayana P; Yeh, Steven; Lew, Julie; Lim, Wee Kiak; Sen, H Nida; Clarke, Grace; Buggage, Ronald; Miller, Sheldon S; Nussenblatt, Robert B","Title: Gene expression profiling in autoimmune noninfectious uveitis disease.
Authors: Li, Zhuqing; Liu, Baoying; Maminishkis, Arvydas; Mahesh, Sankaranarayana P; Yeh, Steven; Lew, Julie; Lim, Wee Kiak; Sen, H Nida; Clarke, Grace; Buggage, Ronald; Miller, Sheldon S; Nussenblatt, Robert B
Publication Date: 2008-Oct-01
PMID: 18802119
Noninfectious uveitis is a predominantly T cell-mediated autoimmune, intraocular inflammatory disease. To characterize the gene expression profile from patients with noninfectious uveitis, PBMCs were isolated from 50 patients with clinically characterized noninfectious uveitis syndrome. A pathway-specific cDNA microarray was used for gene expression profiling and real-time PCR array for further confirmation. Sixty-seven inflammation- and autoimmune-associated genes were found differentially expressed in uveitis patients, with 28 of those genes being validated by real-time PCR. Several genes previously unknown for autoimmune uveitis, including IL-22, IL-19, IL-20, and IL-25/IL-17E, were found to be highly expressed among uveitis patients compared with the normal subjects with IL-22 expression highly variable among the patients. Furthermore, we show that IL-22 can affect primary human retinal pigment epithelial cells by decreasing total tissue resistance and inducing apoptosis possibly by decreasing phospho-Bad level. In addition, the microarray data identified a possible uveitis-associated gene expression pattern, showed distinct gene expression profiles in patients during periods of clinical activity and quiescence, and demonstrated similar expression patterns in related patients with similar clinical phenotypes. Our data provide the first evidence that a subset of IL-10 family genes are implicated in noninfectious uveitis and that IL-22 can affect human retinal pigment epithelial cells. The results may facilitate further understanding of the molecular mechanisms of autoimmune uveitis and other autoimmune originated inflammatory diseases.",28,2008-Oct-01
12457916,A clinical evaluation of uveitis-associated secondary glaucoma.,"Takahashi, Tetsuya; Ohtani, Shinichiro; Miyata, Kazunori; Miyata, Norio; Shirato, Shiroaki; Mochizuki, Manabu","Title: A clinical evaluation of uveitis-associated secondary glaucoma.
Authors: Takahashi, Tetsuya; Ohtani, Shinichiro; Miyata, Kazunori; Miyata, Norio; Shirato, Shiroaki; Mochizuki, Manabu
Publication Date: 2002-1-1
PMID: 12457916
To investigate the clinical features of secondary glaucoma associated with uveitis.
METHODS: The subjects of the study were 1,099 patients with uveitis (1,604 eyes) treated at the Miyata Eye Hospital, Miyakonojo, Miyazaki, between October 1974 and January 2000. The intraocular pressure (IOP) and clinical data were analyzed retrospectively. Secondary glaucoma was diagnosed in the patients when IOP was higher than 21 mm Hg at two consecutive visits and they needed treatment with medication to control the high IOP.
RESULTS: Secondary glaucoma was found in 293 eyes (18.3%) of 217 patients (19.7%) among the uveitis patients. The clinical entity with the highest incidence of secondary glaucoma was Posner-Schlossman syndrome in 100%, followed by sarcoidosis in 34.1%, herpetic anterior uveitis in 30.4%, Behçet's disease in 20.8%, human leukocyte antigen-B27-related acute anterior uveitis in 20.0%, Vogt-Koyanagi-Harada's disease in 16.4%, and human T-lymphotropic virus type 1 uveitis in 16.2%. Among these 293 eyes with secondary glaucoma, the majority (72%) had active anterior uveitis at the time of high IOP. Only 7.5% of the secondary glaucoma eyes had peripheral anterior synechia wider than 180 degrees of the trabecular meshwork. Steroid-induced glaucoma was found in only 8.9% of the secondary glaucoma eyes. Surgical therapy, mainly trabeculectomy with anti-metabolites, was performed in 38 eyes and the post-surgical IOP was controlled under 20 mm Hg in 34 eyes. Despite the medical and surgical therapy for secondary glaucoma, visual field defect was found in 39% of the secondary glaucoma eyes.
CONCLUSIONS: The incidence of secondary glaucoma in the 1,604 eyes with uveitis was 18.3%, but it differed depending upon the clinical entity of the uveitis. The evaluation and the management of IOP are very important in the treatment of patients with uveitis, in addition to the management of intraocular inflammation.",28,2002-1-1
16158310,Syphilitic uveitis in patients infected with human immunodeficiency virus.,"Tran, Thi Ha Chau; Cassoux, Nathalie; Bodaghi, Bahram; Fardeau, Christine; Caumes, Eric; Lehoang, Phuc","Title: Syphilitic uveitis in patients infected with human immunodeficiency virus.
Authors: Tran, Thi Ha Chau; Cassoux, Nathalie; Bodaghi, Bahram; Fardeau, Christine; Caumes, Eric; Lehoang, Phuc
Publication Date: 2005-Sep-1
PMID: 16158310
This work investigates the incidence and clinical features of syphilitic uveitis in patients infected with human immunodeficiency virus (HIV).
MATERIAL AND METHODS: We retrospectively reviewed syphilitic uveitis in patients coinfected with HIV that presented at a referral center between July 2001 and November 2003.
RESULTS: Twelve patients (20 eyes) were included. The ocular manifestations of syphilis led to the discovery of HIV-1 seropositivity in three patients. All patients were male and homosexual. One patient has been previously treated for syphilis with benzathine penicillin G. One patient presented with anterior uveitis and 11 patients had panuveitis or posterior uveitis. Necrotizing retinitis was noted in seven eyes (35%), posterior placoid chorioretinitis in six eyes (30%) and optic nerve involvement in five eyes (25%). Of nine patients with available cerebrospinal fluid (CSF) studies, seven (77.8%) had CSF abnormalities. Eleven patients were treated with intravenous penicillin G and one with intravenous ceftriaxone sodium. One patient required a second course of antibiotics to control uveitis. Ocular inflammation decreased and visual acuity improved in all nine patients for whom follow-up was available after treatment.
CONCLUSION: Manifestations of syphilitic uveitis in HIV-infected patients are multiple, with high frequencies of posterior uveitis, posterior placoid chorioretinitis, necrotizing retinitis and optic nerve involvement. Syphilitic uveitis in HIV-infected patients seems to have a more severe course and may relapse despite high-dose intravenous penicillin therapy.",28,2005-Sep-1
25356569,The value of measuring urinary β2-microglobulin and serum creatinine for detecting tubulointerstitial nephritis and uveitis syndrome in young patients with uveitis.,"Hettinga, Ymkje M; Scheerlinck, Laura M E; Lilien, Marc R; Rothova, Aniki; de Boer, Joke H","Title: The value of measuring urinary β2-microglobulin and serum creatinine for detecting tubulointerstitial nephritis and uveitis syndrome in young patients with uveitis.
Authors: Hettinga, Ymkje M; Scheerlinck, Laura M E; Lilien, Marc R; Rothova, Aniki; de Boer, Joke H
Publication Date: 2015-Feb-1
PMID: 25356569
Tubulointerstitial nephritis and uveitis (TINU) syndrome is characterized by tubulointerstitial and ocular inflammation. Thus far, the value of noninvasive diagnostic tests is not known.
OBJECTIVE: To determine whether urinary β2-microglobulin (β2M), urinary protein, and serum creatinine have predictive value for detecting TINU syndrome in young patients with uveitis.
DESIGN, SETTING, AND PARTICIPANTS: This prospective cohort study was conducted July 2010 through February 2013 at a tertiary care referral center in Utrecht, the Netherlands. Forty-five consecutive new patients with uveitis aged 22 years or younger were enrolled.
EXPOSURES: Urinary β2M, urinary protein, and serum creatinine were measured prospectively, and the estimated glomerular filtration rate was calculated.
MAIN OUTCOMES AND MEASURES: A post hoc analysis was performed to determine whether urinary β2M, urinary protein, serum creatinine, estimated glomerular filtration rate, and/or pyuria were correlated with definitive and probable cases of TINU syndrome.
RESULTS: Eighteen of the 45 patients (40%) in our cohort had elevated urinary β2M levels, and 10 patients (22%) had elevated serum creatinine levels. Twenty of 43 patients (47%) had proteinuria. Eight of the 45 patients were diagnosed by a pediatric nephrologist as having renal dysfunction that suggested acute interstitial nephritis. Of these 8 patients, 2 were definitively diagnosed as having TINU syndrome (confirmed by renal biopsy). After excluding other causes of renal dysfunction, the remaining 6 patients with uveitis and renal dysfunction fulfilled the criteria of probable TINU syndrome. The 8 patients with definitive or probable TINU syndrome had higher urinary β2M levels than patients with normal renal function (median β2M, 1.95 mg/L; 95% CI, 1.26-5.16 mg/L vs 0.20 mg/L; 95% CI, 0.19-0.21 mg/L; P < .001; Mann-Whitney U test). Our analysis revealed that the positive predictive value of increased β2M combined with increased serum creatinine was 100% for detecting definitive and/or probable TINU syndrome.
CONCLUSIONS AND RELEVANCE: These data suggest that urinary β2M and serum creatinine levels are sensitive and relatively simple diagnostic screening tools for detecting renal dysfunction to diagnose TINU syndrome in young patients with uveitis similar to those evaluated in this study.",28,2015-Feb-1
1867297,"Randomized, double-masked study of cyclosporine compared to prednisolone in the treatment of endogenous uveitis.","Nussenblatt, R B; Palestine, A G; Chan, C C; Stevens, G; Mellow, S D; Green, S B","Title: Randomized, double-masked study of cyclosporine compared to prednisolone in the treatment of endogenous uveitis.
Authors: Nussenblatt, R B; Palestine, A G; Chan, C C; Stevens, G; Mellow, S D; Green, S B
Publication Date: 1991-Aug-15
PMID: 1867297
Fifty-six patients with bilateral sight-threatening noninfectious intermediate or posterior uveitis participated in a randomized double-masked study of the use of cyclosporine vs prednisolone in their treatment. Applying the end-point definitions, visual acuity or vitreal haze improved in only 13 of 28 (46%) patients in each group. The macular edema resolved in seven of 15 patients of the cyclosporine-treated group, and in ten of 16 patients of the prednisolone-treated group (P = .376). Patients whose therapies failed both cyclosporine and prednisolone trials were treated with both drugs, which resulted in additional patient improvements. Secondary effects were observed in both therapeutic alternatives, the most notable being alterations in serum creatinine concentration and hypertension with the dosage of cyclosporine used.",28,1991-Aug-15
